fire_name,fire_year,alarm_date,contained_date,acres,cause,latitude,longitude,county
Trail Fire 2023-01,2023,2023-08-22,2023-09-12,17.0,Under Investigation,38.5281,-122.6968,Napa
Creek Fire 2023-02,2023,2023-09-26,2023-09-27,2537.8,Equipment Use,38.5396,-122.1139,Napa
Hill Fire 2024-03,2024,2024-06-11,2024-06-12,9131.3,Debris Burning,38.7731,-122.6248,Napa
Trail Fire 2022-04,2022,2022-10-05,2022-10-08,15466.5,Campfire,38.5664,-122.3483,Napa
Hill Fire 2019-05,2019,2019-08-22,2019-08-27,14053.3,Lightning,38.3635,-122.4428,Napa
Summit Fire 2021-06,2021,2021-08-21,2021-09-04,313.9,Lightning,38.5957,-122.5499,Napa
Summit Fire 2020-07,2020,2020-09-14,2020-09-15,4169.1,Power Lines,38.5621,-122.1618,Napa
Meadow Fire 2024-08,2024,2024-07-19,2024-07-24,21907.2,Arson,38.3811,-122.287,Napa
Canyon Fire 2021-09,2021,2021-07-19,2021-07-24,24111.0,Vehicle,38.3174,-122.1669,Napa
Meadow Fire 2021-10,2021,2021-11-27,2021-12-07,18.0,Campfire,38.3231,-122.4602,Napa
Valley Fire 2023-11,2023,2023-08-23,2023-09-02,21459.0,Vehicle,38.6935,-122.4705,Napa
Trail Fire 2023-12,2023,2023-07-24,2023-07-26,2700.2,Under Investigation,38.66,-122.6221,Napa
Vineyard Fire 2022-13,2022,2022-07-27,2022-08-03,19625.6,Equipment Use,38.2192,-122.4083,Napa
Canyon Fire 2020-14,2020,2020-09-12,2020-09-15,1.3,Power Lines,38.3544,-122.131,Napa
Creek Fire 2021-15,2021,2021-06-04,2021-06-09,289.1,Campfire,38.6395,-122.2754,Napa
Ridge Fire 2019-16,2019,2019-10-24,2019-10-25,11.8,Vehicle,38.7575,-122.6795,Napa
Rock Fire 2018-17,2018,2018-10-16,2018-10-26,122.4,Lightning,38.3612,-122.5646,Napa
Canyon Fire 2019-18,2019,2019-10-15,2019-10-16,2262.8,Lightning,38.5937,-122.2721,Napa
Summit Fire 2019-19,2019,2019-08-05,2019-08-10,751.2,Debris Burning,38.3221,-122.6391,Napa
Lake Fire 2018-20,2018,2018-09-03,2018-09-13,21.3,Lightning,38.2142,-122.2682,Napa
Canyon Fire 2018-21,2018,2018-08-27,2018-08-30,11478.0,Arson,38.54,-122.122,Napa
Ridge Fire 2021-22,2021,2021-11-14,2021-11-15,44.1,Debris Burning,38.682,-122.2341,Napa
Summit Fire 2019-23,2019,2019-10-23,2019-10-30,15816.1,Equipment Use,38.5528,-122.352,Napa
Lake Fire 2024-24,2024,2024-08-14,2024-09-04,440.9,Campfire,38.4544,-122.6801,Napa
Hill Fire 2023-25,2023,2023-09-09,2023-09-19,22.7,Power Lines,38.3847,-122.1503,Napa
