location,date,temp_max,humidity,wind_speed,wind_deg,pressure,visibility,uvi,fire_risk_score
American_Canyon,2017-01-01,46.2,82,0.9,26,1020,20000,0.5,0.1
Calistoga,2017-01-01,64.0,37,3.4,105,1007,10000,2.1,0.05
Napa_Airport,2017-01-01,60.9,83,5.2,247,1010,20000,2.6,0.2
St_Helena,2017-01-01,81.2,76,10.8,181,1027,10000,4.9,0.18
Yountville,2017-01-01,79.0,65,7.9,47,1008,15000,5.3,0.1
American_Canyon,2017-01-02,58.2,58,15.9,232,1011,15000,1.5,0.16
Calistoga,2017-01-02,43.6,66,5.5,266,1020,10000,0.2,0.07
Napa_Airport,2017-01-02,59.2,53,10.3,310,1007,10000,1.9,0.14
St_Helena,2017-01-02,54.8,72,0.0,336,1008,15000,1.2,0.13
Yountville,2017-01-02,51.0,88,10.7,133,1018,10000,1.5,0.14
American_Canyon,2017-01-07,68.5,69,9.4,93,1009,12000,3.6,0.16
Calistoga,2017-01-07,58.0,71,0.8,202,1018,15000,2.0,0.12
Napa_Airport,2017-01-07,69.4,86,6.3,43,1004,10000,3.1,0.12
St_Helena,2017-01-07,59.2,66,7.2,74,1024,10000,2.9,0.07
Yountville,2017-01-07,62.4,71,3.5,77,1014,15000,2.0,0.04
American_Canyon,2017-01-10,55.3,61,7.2,102,999,10000,2.0,0.1
Calistoga,2017-01-10,30.0,94,8.1,181,1014,12000,0.0,0.11
Napa_Airport,2017-01-10,80.2,87,10.6,40,1024,10000,4.9,0.16
St_Helena,2017-01-10,39.5,86,2.7,0,1015,12000,0.7,0.02
Yountville,2017-01-10,49.8,84,10.5,90,1014,15000,0.8,0.17
American_Canyon,2017-01-11,79.0,67,13.8,123,1015,20000,4.3,0.16
Calistoga,2017-01-11,86.7,65,8.3,79,1033,15000,6.2,0.4
Napa_Airport,2017-01-11,66.3,76,10.5,18,1010,10000,2.8,0.1
St_Helena,2017-01-11,49.2,65,2.5,326,1020,20000,1.0,0.14
Yountville,2017-01-11,67.1,52,0.0,144,1011,20000,3.9,0.04
American_Canyon,2017-01-13,67.5,77,13.3,68,1013,10000,2.6,0.09
Calistoga,2017-01-13,42.8,71,2.5,296,1007,15000,0.2,0.05
Napa_Airport,2017-01-13,54.1,61,0.0,338,1002,12000,1.0,0.04
St_Helena,2017-01-13,56.6,61,4.0,99,1013,15000,1.7,0.16
Yountville,2017-01-13,71.3,67,11.2,329,1004,10000,3.8,0.03
American_Canyon,2017-01-15,54.5,80,14.3,225,1005,20000,2.6,0.19
Calistoga,2017-01-15,37.5,54,10.5,210,1026,15000,0.0,0.18
Napa_Airport,2017-01-15,63.3,71,0.2,339,1020,10000,3.1,0.11
St_Helena,2017-01-15,62.5,71,0.0,242,1018,20000,1.9,0.18
Yountville,2017-01-15,64.9,90,1.3,6,1011,12000,2.1,0.01
American_Canyon,2017-01-16,73.0,78,12.2,120,1018,12000,3.3,0.1
Calistoga,2017-01-16,54.0,95,3.4,55,1031,12000,2.6,0.1
Napa_Airport,2017-01-16,62.1,79,2.4,188,1016,15000,1.9,0.17
St_Helena,2017-01-16,45.5,63,5.9,354,1024,12000,1.3,0.09
Yountville,2017-01-16,67.2,58,10.5,271,1019,12000,3.7,0.02
American_Canyon,2017-01-23,56.4,60,8.8,224,1010,12000,1.4,0.14
Calistoga,2017-01-23,63.9,81,11.9,109,1014,15000,3.8,0.13
Napa_Airport,2017-01-23,69.5,51,9.3,85,1018,12000,3.8,0.07
St_Helena,2017-01-23,56.5,85,2.8,239,1021,15000,2.9,0.13
Yountville,2017-01-23,63.1,80,4.8,240,1023,15000,2.8,0.02
American_Canyon,2017-01-25,56.0,49,4.5,317,1006,20000,1.3,0.08
Calistoga,2017-01-25,54.9,79,6.1,269,1008,15000,2.7,0.13
Napa_Airport,2017-01-25,67.4,64,5.5,99,1017,20000,4.2,0.04
St_Helena,2017-01-25,70.6,66,1.7,64,1006,12000,4.6,0.13
Yountville,2017-01-25,51.6,95,6.3,167,1021,10000,1.0,0.15
American_Canyon,2017-01-28,56.1,75,0.0,132,1011,10000,2.3,0.06
Calistoga,2017-01-28,76.8,62,3.7,266,1016,12000,4.2,0.1
Napa_Airport,2017-01-28,76.1,89,8.3,239,1013,20000,4.5,0.13
St_Helena,2017-01-28,75.0,82,4.4,61,1004,20000,4.1,0.01
Yountville,2017-01-28,66.5,48,6.2,277,1021,15000,3.2,0.02
American_Canyon,2017-02-04,73.8,95,7.2,308,1011,10000,3.7,0.03
Calistoga,2017-02-04,41.6,78,12.9,59,1020,20000,0.0,0.13
Napa_Airport,2017-02-04,67.4,77,0.0,0,1018,15000,2.7,0.03
St_Helena,2017-02-04,79.0,59,0.0,308,1009,12000,4.6,0.02
Yountville,2017-02-04,54.2,74,4.5,305,1001,10000,1.9,0.08
American_Canyon,2017-02-06,64.8,67,5.4,157,1009,12000,3.0,0.04
Calistoga,2017-02-06,56.4,69,0.0,231,1014,10000,2.8,0.01
Napa_Airport,2017-02-06,77.9,91,7.3,145,1012,15000,5.1,0.11
St_Helena,2017-02-06,61.3,95,9.3,48,1020,10000,2.3,0.02
Yountville,2017-02-06,38.9,61,0.0,179,1017,12000,0.0,0.02
American_Canyon,2017-02-09,67.3,80,10.8,87,1022,10000,3.0,0.15
Calistoga,2017-02-09,44.2,62,3.9,334,1009,15000,0.9,0.19
Napa_Airport,2017-02-09,58.6,95,0.0,63,1009,15000,2.2,0.06
St_Helena,2017-02-09,78.0,95,8.7,297,1013,20000,5.3,0.14
Yountville,2017-02-09,75.3,71,4.9,16,1007,15000,5.0,0.13
American_Canyon,2017-02-12,79.1,42,4.7,36,1000,20000,4.1,0.03
Calistoga,2017-02-12,57.4,95,9.5,337,1001,15000,2.5,0.13
Napa_Airport,2017-02-12,59.1,69,5.7,283,1015,10000,3.0,0.02
St_Helena,2017-02-12,52.8,69,14.5,186,1016,12000,1.9,0.14
Yountville,2017-02-12,68.3,74,5.7,57,1020,15000,4.1,0.08
American_Canyon,2017-02-15,63.9,76,12.0,84,1009,20000,3.6,0.2
Calistoga,2017-02-15,37.5,92,9.2,297,1015,12000,0.4,0.14
Napa_Airport,2017-02-15,48.4,89,6.3,299,1010,12000,0.3,0.18
St_Helena,2017-02-15,69.6,71,7.7,356,1003,20000,4.7,0.16
Yountville,2017-02-15,59.0,84,8.9,163,999,12000,2.9,0.18
American_Canyon,2017-02-17,77.5,95,10.0,270,1015,20000,5.4,0.17
Calistoga,2017-02-17,76.6,90,3.8,54,1014,12000,4.7,0.01
Napa_Airport,2017-02-17,49.8,68,3.8,343,1017,10000,0.6,0.17
St_Helena,2017-02-17,45.0,74,4.4,136,1017,20000,0.3,0.16
Yountville,2017-02-17,78.6,77,6.5,135,1015,15000,4.5,0.06
American_Canyon,2017-02-20,60.8,53,1.8,222,1005,10000,1.9,0.05
Calistoga,2017-02-20,48.1,84,4.8,123,1017,15000,1.6,0.08
Napa_Airport,2017-02-20,54.4,80,9.4,71,1027,10000,1.9,0.01
St_Helena,2017-02-20,59.8,69,3.0,204,1019,12000,2.5,0.15
Yountville,2017-02-20,54.2,63,8.6,344,1011,20000,2.0,0.18
American_Canyon,2017-02-21,70.9,79,4.5,165,1013,12000,3.1,0.16
Calistoga,2017-02-21,34.0,84,12.3,98,1006,20000,0.0,0.03
Napa_Airport,2017-02-21,67.0,63,3.8,260,1025,15000,3.0,0.19
St_Helena,2017-02-21,62.1,86,0.0,205,1014,15000,2.6,0.19
Yountville,2017-02-21,83.0,67,6.5,209,998,12000,5.9,0.16
American_Canyon,2017-02-24,51.5,60,13.5,211,1014,15000,1.9,0.02
Calistoga,2017-02-24,74.4,95,9.5,195,1009,12000,4.0,0.16
Napa_Airport,2017-02-24,74.4,86,1.7,176,1007,12000,3.7,0.06
St_Helena,2017-02-24,59.8,72,0.8,288,1029,10000,1.8,0.12
Yountville,2017-02-24,82.9,61,10.2,115,1003,15000,4.9,0.16
American_Canyon,2017-03-01,83.3,61,0.6,137,1009,12000,6.2,0.29
Calistoga,2017-03-01,46.5,67,0.0,310,1019,10000,0.7,0.26
Napa_Airport,2017-03-01,74.6,69,10.7,239,1006,20000,4.0,0.26
St_Helena,2017-03-01,66.5,70,13.2,35,1011,12000,3.0,0.22
Yountville,2017-03-01,77.9,74,8.8,70,1016,15000,5.0,0.19
American_Canyon,2017-03-04,72.3,75,5.0,155,1019,15000,4.0,0.17
